Operator,SSE,Mission,Seg,Flight_segment,Type_segment,FLAP,Altitude,TAS,Time,Distance,Pressure,THRUST,Mass,ZFW,PL,FW,1g,Vertical maneuver,Vertical gust,Turn,Frontal gust,n0,Giro,Xcg(%CMA),Op-Mission,q,gamma,Mission_type
OpS,2110017,E1,7,C-1500,FLT-1,10,750,137.0,1.0,2.9,0.41,16.31,17305,15400,500,1905,43.992,17.426,0.5197,6.276,,1.92,0.67,,OpS-E1,2976.266912367769,4.865686239349106,Training
OpS,2110017,E1,8,CRUISE,FLT-2,0,1500,198.0,9.1,30.0,0.69,7.83,17305,15400,500,1905,56.458,19.692,0.7994,6.102,,1.85,0.881,,OpS-E1,6080.727602333004,0.0,Training
OpS,2110017,E1,9,APPROACH,FLT-3,15,750,119.0,1.0,6.6,0.41,0.43,17305,15400,500,1905,40.002,14.142,0.3896,4.727,3.235,1.96,0.824,,OpS-E1,2245.560005649741,0.0,Training
OpS,2110017,E1,10,F/APPRO.,FLT-3,23,25,108.0,1.0,2.0,0.13,-0.26,17305,15400,500,1905,40.0,14.142,0.3896,4.727,3.235,1.96,0.824,,OpS-E1,1889.367452436192,0.0,Training
OpS,2110017,F1,9,C-1500,FLT-1,10,750,147.0,1.0,2.9,0.41,15.05,20549,18900,4000,1649,54.718,21.11,0.6058,7.365,,1.82,0.864,,OpS-F1,3426.615787167942,4.865686239349106,Ferry
OpS,2110017,F1,10,C-9000,FLT-1,0,5000,167.0,9.2,24.3,1.93,13.26,20549,18900,4000,1649,54.728,21.11,0.6058,7.365,,1.82,0.864,,OpS-F1,3895.471219273183,3.101386385356629,Ferry
OpS,2110017,F1,11,C-17000,FLT-1,0,13000,178.0,19.2,57.4,0.42,10.01,20549,18900,4000,1649,56.161,20.787,0.5787,6.987,,1.92,0.849,,OpS-F1,3447.96749090737,1.3140096589469,Ferry
OpS,2110017,F1,12,CRUISE,FLT-2,0,17000,219.0,24.6,89.7,5.06,7.32,20549,18900,4000,1649,61.399,22.502,0.6869,7.162,,1.89,0.951,,OpS-F1,4580.660372453546,0.0,Ferry
OpS,2110017,F1,13,D-9000,FLT-3,0,13000,251.0,3.6,15.2,0.42,-0.15,19919,18900,4000,1019,68.125,23.972,0.9005,7.351,,1.8,1.293,,OpS-F1,6855.996714261306,-4.950628551011955,Ferry
OpS,2110017,F1,14,D-1500,FLT-3,0,5000,223.0,3.6,13.3,1.93,-0.15,19919,18900,4000,1019,68.19,23.936,0.9281,7.338,,1.76,1.324,,OpS-F1,6946.032065087888,-4.950628551011955,Ferry
OpS,2110017,F1,15,APPROACH,FLT-3,15,750,125.0,1.0,6.6,0.41,0.43,19919,18900,4000,1019,47.823,16.736,0.4437,5.617,3.722,1.88,0.896,,OpS-F1,2477.71167913828,0.0,Ferry
OpS,2110017,F1,16,F/APPRO.,FLT-3,23,25,114.0,1.0,2.0,0.13,-0.26,19919,18900,4000,1019,47.821,16.736,0.4437,5.617,3.722,1.88,0.896,,OpS-F1,2105.128550399585,0.0,Ferry
OpS,2110017,F2,9,C-1500,FLT-1,10,750,147.0,1.0,2.9,0.41,14.97,20836,18900,4000,1936,55.348,21.293,0.6078,7.43,,1.82,0.878,,OpS-F2,3426.615787167942,4.865686239349106,Ferry
OpS,2110017,F2,10,C-9000,FLT-1,0,5000,158.0,9.5,25.3,1.93,13.21,20836,18900,4000,1936,55.359,21.293,0.6078,7.43,,1.82,0.878,,OpS-F2,3486.913963137285,2.979027280043944,Ferry
OpS,2110017,F2,11,C-17000,FLT-1,0,13000,179.0,20.5,61.9,0.42,9.97,20836,18900,4000,1936,56.966,21.059,0.5867,7.073,,1.91,0.867,,OpS-F2,3486.817522287685,1.218513845605981,Ferry
OpS,2110017,F2,12,CRUISE,FLT-2,0,17000,219.0,56.3,204.9,5.06,7.34,20836,18900,4000,1936,62.066,22.748,0.6879,7.248,,1.89,0.962,,OpS-F2,4580.660372453546,0.0,Ferry
OpS,2110017,F2,13,CRUISE,FLT-2,0,17000,221.0,48.9,179.9,5.06,7.27,19919,18900,4000,1019,60.234,22.048,0.6961,6.989,,1.87,0.943,,OpS-F2,4664.707434186187,0.0,Ferry
OpS,2110017,F2,14,D-9000,FLT-3,0,13000,251.0,3.6,14.9,0.42,-0.15,19919,18900,4000,1019,68.125,23.972,0.9005,7.351,,1.8,1.293,,OpS-F2,6855.996714261306,-5.049795295951077,Ferry
OpS,2110017,F2,15,D-1500,FLT-3,0,5000,223.0,3.5,13.1,1.93,-0.15,19919,18900,4000,1019,68.19,23.936,0.9281,7.338,,1.76,1.324,,OpS-F2,6946.032065087888,-5.025826448066909,Ferry
OpS,2110017,F2,16,APPROACH,FLT-3,15,750,123.0,1.0,6.6,0.41,0.43,19919,18900,4000,1019,47.823,16.736,0.4437,5.617,3.722,1.88,0.896,,OpS-F2,2399.059199595715,0.0,Ferry
OpS,2110017,F2,17,F/APPRO.,FLT-3,23,25,112.0,1.0,2.0,0.13,-0.26,19919,18900,4000,1019,47.821,16.736,0.4437,5.617,3.722,1.88,0.896,,OpS-F2,2031.912321961556,0.0,Ferry
OpS,2110017,F3,9,C-1500,FLT-1,10,750,153.0,1.0,2.9,0.41,14.71,21886,17400,2500,4486,52.962,19.496,0.609,6.721,,1.95,0.789,,OpS-F3,3712.048172604673,4.865686239349106,Ferry
OpS,2110017,F3,10,C-9000,FLT-1,0,5000,163.0,11.1,30.7,1.93,12.97,21886,17400,2500,4486,52.972,19.496,0.609,6.721,,1.95,0.789,,OpS-F3,3711.096662658008,2.455738794991092,Ferry
OpS,2110017,F3,11,C-16000,FLT-1,0,13000,184.0,22.1,67.7,0.42,9.96,21886,17400,2500,4486,53.877,19.172,0.5778,6.42,,2.04,0.818,,OpS-F3,3684.33238770862,0.8356576596816966,Ferry
OpS,2110017,F3,12,CRUISE,FLT-2,0,16000,219.0,57.9,207.2,4.89,7.64,21886,17400,2500,4486,58.445,20.713,0.6659,6.616,,2.01,0.712,,OpS-F3,4734.375667749857,0.0,Ferry
OpS,2110017,F3,13,CRUISE,FLT-2,0,16000,221.0,62.4,22.7,4.89,7.55,21061,17400,2500,3661,59.687,21.452,0.683,6.814,,1.96,0.725,,OpS-F3,4821.243134808925,0.0,Ferry
OpS,2110017,F3,14,C-18000,FLT-1,0,17000,184.0,8.8,27.8,5.06,8.55,20438,17400,2500,3038,53.841,19.447,0.5336,6.549,,2.0,0.794,,OpS-F3,3233.519684113911,0.6783620111460572,Ferry
